TIMESTAMP,IRT2006B1xx24,TDR2006B10624,TDR2006B11824,TDR2006B13024,TDR2006B14224,Ta_2m_Avg,RH_2m_Avg,WndAveSpd_3m,WndAveDir_3m,PresAvg_1pnt5m,Solar_2m_Avg,Rain_1m_Tot,TaMax_2m,TaMin_2m,RHMax_2m,RHMin_2m,swsi,et,cwsi
2024-07-17 16:00:00,22.26666,21.1,18.391665,17.475,12.3,28.308,50.38466666666667,2.037583333333333,87.56566666666666,921.1159766666666,617.855,0.0,28.471666666666668,28.133,51.09883333333333,49.80416666666667,0.4585415084915084,,
2024-07-17 17:00:00,22.208335,21.1,18.316665,17.391669999999998,12.3,27.262666666666668,52.6415,1.5854333333333337,85.575,920.895245,308.49666666666667,0.0,27.421,27.096,53.04616666666666,52.2435,0.4632866633366634,,
2024-07-17 18:00:00,22.208335,21.1,18.291665,17.4,12.325,26.388666666666666,54.23616666666667,1.6771,107.7705,920.802555,231.3683333333333,0.0,26.5285,26.239833333333333,54.5455,53.94133333333333,0.4630370129870134,,
2024-07-17 19:00:00,22.208335,21.108335,18.266665,17.36667,12.316665,25.55033333333333,55.89883333333333,1.8688166666666668,136.37833333333333,920.8599266666666,114.2435,0.0,25.691666666666663,25.395166666666668,56.11016666666667,55.7015,0.4647851648351647,,
2024-07-17 20:00:00,22.21667,21.1,18.3,17.383335000000002,12.341665,24.16,60.4215,1.4986333333333337,147.07833333333335,921.3250383333332,10.924433333333331,0.0,24.3105,24.004166666666663,60.56733333333333,60.278666666666666,0.4627872127872127,,
2024-07-17 21:00:00,22.21667,21.116665,18.24167,17.425,12.35833,23.2315,63.462,2.065,151.03833333333333,921.477875,0.0,0.0,23.368,23.0715,63.584,63.342666666666666,0.462287762237762,,
2024-07-17 22:00:00,22.216665,21.1,18.258335,17.533335,12.358335,22.9385,65.75566666666667,1.6053,135.8735,921.4771383333332,0.0,0.0,23.08233333333333,22.780833333333337,65.88583333333334,65.62883333333333,0.4590408091908095,,
2024-07-17 23:00:00,22.2,21.158335,18.3,17.525,12.341665,22.1355,68.68983333333334,1.3555,120.471,922.1145383333334,0.0,0.0,22.279333333333334,21.99633333333333,68.88033333333333,68.50066666666666,0.4567932067932067,,
2024-07-18 00:00:00,22.21667,21.108335,18.3,17.575,12.308335,20.756500000000003,73.4935,1.14795,165.165,922.5979633333334,0.0,0.0,20.90333333333333,20.604,73.66883333333334,73.32,0.4577921078921078,5.490919466183446,
2024-07-18 01:00:00,22.225,21.1,18.3,17.608334999999997,12.325,18.72683333333333,82.73649999999999,1.1707166666666666,195.42,922.475665,0.0,0.0,18.8655,18.5625,82.93966666666667,82.52433333333333,0.4565434065934067,,
2024-07-18 02:00:00,22.2,21.15,18.291665,17.608335,12.366665,17.663999999999998,85.26333333333334,0.9174666666666668,183.8933333333333,922.4140083333332,0.0,0.0,17.806166666666666,17.505,85.49499999999999,85.02833333333334,0.454046003996004,,
2024-07-18 03:00:00,22.225,21.1,18.308335,17.633335,12.308335,15.3235,92.93666666666668,1.2555166666666666,186.795,922.2492366666668,0.0,0.0,15.468666666666667,15.171166666666666,93.14166666666668,92.71833333333332,0.4560438061938061,,
2024-07-18 04:00:00,22.208335,21.108335,18.308335,17.658335,12.316665,15.370666666666668,93.52333333333333,1.2040833333333334,199.5366666666667,922.2019866666668,0.0,0.0,15.511666666666668,15.217,93.79333333333334,93.25333333333332,0.4547951048951048,,
2024-07-18 05:00:00,22.208335,21.1,18.308335,17.625,12.316665,14.749166666666667,94.67666666666668,0.4041333333333333,100.31883333333332,922.41782,0.0,0.0,14.8915,14.599333333333334,94.95333333333332,94.40333333333334,0.4560439560439557,,
2024-07-18 06:00:00,22.21667,21.1,18.308335,17.683335,12.383335,14.534333333333333,96.46166666666666,0.5593166666666666,133.01666666666668,922.6358583333332,3.7917,0.0,14.685166666666667,14.3855,96.64,96.26333333333334,0.4522975524475521,,
2024-07-18 07:00:00,22.21667,21.1,18.3,17.691665,12.35,15.509166666666664,94.97166666666666,0.1946166666666666,28.326666666666664,922.8274316666668,88.146,0.0,15.6595,15.347166666666668,95.19333333333334,94.72833333333332,0.4532967532467534,,
2024-07-18 08:00:00,22.2,21.1,18.316665,17.683335,12.341665,19.525,76.8115,2.4138333333333337,165.72166666666666,922.84125,262.04833333333335,0.0,19.669666666666668,19.369666666666667,77.17883333333333,76.47,0.453296753246753,,
2024-07-18 09:00:00,22.2,21.091665,18.3,17.65833,12.325,22.0355,66.521,3.41665,177.97833333333335,922.7054883333332,435.4316666666667,0.0,22.19783333333333,21.882166666666667,66.944,66.09566666666666,0.4552948551448553,,
2024-07-18 10:00:00,22.191665,21.008335,18.241665,17.583334999999998,12.341665,24.3195,58.64483333333333,3.9779166666666654,189.5883333333333,922.4323483333334,586.3933333333333,0.0,24.482000000000003,24.151166666666665,59.179,58.16566666666667,0.4612887112887114,,
2024-07-18 11:00:00,22.166665,21.016665,18.19167,17.391665,12.316665,26.198666666666668,51.978,4.1493,191.76666666666668,922.1917583333332,710.7683333333333,0.0,26.370833333333334,26.032,52.50116666666667,51.4665,0.4690310189810187,,
2024-07-18 12:00:00,22.133335,21.0,18.083335,17.3,12.308335,27.561,48.2135,4.074933333333333,184.71166666666667,921.83805,811.23,0.0,27.729,27.38683333333333,48.74566666666667,47.7425,0.4757741258741257,,
2024-07-18 13:00:00,22.091665,20.925,17.93333,17.141665000000003,12.25,28.872666666666664,44.2285,3.7894,180.185,921.4009066666666,862.5166666666667,0.0,29.038833333333333,28.68733333333333,44.78566666666666,43.723,0.4890111388611383,,
2024-07-18 14:00:00,22.091665,20.9,17.783335,16.991664999999998,12.26667,30.10533333333333,40.67100000000001,3.508433333333333,181.47,920.8072816666668,861.3666666666667,0.0,30.2775,29.916666666666668,41.23866666666667,40.16,0.4982516483516484,,
2024-07-18 15:00:00,22.024995,20.83333,17.633335,16.799999999999997,12.16667,30.70383333333333,39.89433333333333,3.6328833333333335,165.71,920.2955216666668,772.2516666666667,0.0,30.8785,30.514333333333333,40.3485,39.47583333333333,0.5134864635364638,,
2024-07-18 16:00:00,22.0,20.8,17.566665,16.65,12.2,30.996,37.94683333333333,3.2146833333333333,157.095,919.8663616666666,630.2483333333333,0.0,31.168,30.81883333333333,38.34016666666666,37.56816666666667,0.5199800699300701,,
2024-07-18 17:00:00,22.0,20.875,17.45,16.541665000000002,12.133335,31.18533333333333,38.155,3.456533333333333,157.37833333333336,919.376805,518.3466666666667,0.0,31.3545,30.997,38.526833333333336,37.81633333333333,0.5264735264735264,,
2024-07-18 18:00:00,22.0,20.816665,17.416665000000002,16.491664999999998,12.133335,30.860666666666667,39.38216666666666,3.2282,154.5366666666667,918.8851166666668,343.32166666666666,0.0,31.019166666666667,30.6965,39.65766666666666,39.12966666666667,0.5307193806193807,,
2024-07-18 19:00:00,21.975,20.816665,17.36667,16.45,12.125,29.4225,45.18683333333333,3.315166666666667,151.1266666666667,918.6639416666666,175.90666666666667,0.0,29.55883333333333,29.267666666666667,45.3785,44.98216666666666,0.5337162337662341,,
2024-07-18 20:00:00,21.98333,20.875,17.375,16.458334999999998,12.158335,27.368,52.452666666666666,2.8913,148.52833333333334,918.7556383333334,44.46891666666667,0.0,27.508166666666668,27.21966666666667,52.59316666666667,52.314,0.5304694305694307,,
2024-07-18 21:00:00,21.98333,20.9,17.383335000000002,16.5,12.2,25.149833333333333,57.518166666666666,2.51445,151.78833333333333,919.1459883333332,0.0,0.0,25.292666666666666,24.999333333333333,57.637166666666666,57.3985,0.5269729770229771,,
2024-07-18 22:00:00,22.0,20.9,17.366665,16.55,12.2,23.79416666666667,59.72866666666667,2.5723166666666666,154.17999999999998,919.412485,0.0,0.0,23.9425,23.643,59.851,59.61016666666667,0.5259740759240761,,
2024-07-18 23:00:00,21.966665,20.9,17.383335,16.58333,12.208335,22.801,62.74466666666667,3.3638,158.09,919.4923133333334,0.0,0.0,22.946666666666665,22.660666666666664,62.86683333333334,62.63,0.5242257742257744,,
2024-07-19 00:00:00,21.966665,20.9,17.4,16.591665,12.21667,22.3025,64.02016666666667,4.020783333333333,162.84,919.1662566666668,0.0,0.0,22.441666666666663,22.1565,64.15316666666666,63.90783333333333,0.5232267232767234,1.2639302428726742,
2024-07-19 01:00:00,21.966665,20.9,17.4,16.6,12.208335,21.5695,67.41116666666667,4.019116666666666,165.78333333333333,918.99532,0.0,0.0,21.706833333333336,21.434833333333334,67.53366666666666,67.29683333333334,0.523226723276723,,
2024-07-19 02:00:00,21.941665,20.891665,17.416665000000002,16.63333,12.2,20.92533333333333,70.71466666666667,4.017716666666667,171.6266666666667,918.5647166666666,0.0,0.0,21.0665,20.777833333333334,70.85566666666666,70.57966666666667,0.522227972027972,,
2024-07-19 03:00:00,21.925,20.9,17.4,16.666665000000002,12.2,20.07133333333333,75.28833333333334,2.2947333333333333,158.04666666666665,918.4417016666666,0.0,0.0,20.2085,19.920166666666667,75.43116666666667,75.14733333333334,0.5214785714285713,,
2024-07-19 04:00:00,21.941665,20.883335,17.416665000000002,16.68333,12.208335,19.345666666666663,79.144,1.887133333333333,156.70166666666668,918.5114616666668,0.0,0.0,19.48933333333333,19.19,79.28366666666668,78.997,0.5207293206793207,,
2024-07-19 05:00:00,21.93333,20.866665,17.458334999999998,16.7,12.2,18.75895833333333,82.35208333333334,1.7677083333333334,161.6625,918.4988208333332,0.0,0.0,18.894791666666663,18.605416666666667,82.48958333333333,82.19791666666667,0.51973026973027,,
2024-07-19 06:00:00,21.933335,20.833335,17.450000000000003,16.66667,12.2,,,,,,,,,,,,0.5219778721278722,,
2024-07-19 07:00:00,21.91666,20.83333,17.5,16.7,12.2,,,,,,,,,,,,0.5194806193806196,,
